# Acquisizione Analog Discovery 2 - Lunga durata
# time	ch1	ch2
-8.191999999999999629e-03	-1.495931422583392401e+00	-3.676346303474948840e-01
-8.191000000000000364e-03	1.532966384778906788e+00	2.656901649455178482e+00
-8.189999999999999364e-03	1.528251098522588336e+00	2.611577576373814491e+00
-8.189000000000000098e-03	1.526567067716760429e+00	2.580797795400649353e+00
-8.187999999999999098e-03	1.528587904683754051e+00	2.611915815725168066e+00
-8.186999999999999833e-03	1.522862199943938677e+00	2.634916091617203637e+00
-8.185999999999998833e-03	1.509726759658480022e+00	2.621724756914418197e+00
-8.184999999999999568e-03	1.509389953497314307e+00	2.575047726427640349e+00
-8.184000000000000302e-03	1.514778852075964188e+00	2.563547588481622785e+00
-8.182999999999999302e-03	1.520504556815779340e+00	2.575047726427640349e+00
-8.182000000000000037e-03	1.516462882881792096e+00	2.616651166644116344e+00
-8.180999999999999037e-03	1.504001054918664648e+00	2.608533422211633201e+00
-8.179999999999999771e-03	1.500296187145843119e+00	2.587224343076365063e+00
-8.178999999999998771e-03	1.515115658237129681e+00	2.561179913022148202e+00
-8.177999999999999506e-03	1.519157332171116925e+00	2.584856667616890924e+00
-8.177000000000000240e-03	1.510737178141976722e+00	2.625445389779306637e+00
-8.175999999999999240e-03	1.501643411790505533e+00	2.617327645346823495e+00
-8.174999999999999975e-03	1.500296187145843119e+00	2.572680050968166210e+00
-8.173999999999998975e-03	1.511073984303142437e+00	2.556782801454553500e+00
-8.172999999999999710e-03	1.515789270559460888e+00	2.577753641238468063e+00
-8.172000000000000444e-03	1.510063565819645515e+00	2.622062996265771773e+00
-8.170999999999999444e-03	1.501306605629339819e+00	2.602783353238624198e+00
-8.170000000000000179e-03	1.496928125534186860e+00	2.575724205130347499e+00
-8.168999999999999179e-03	1.502317024112836741e+00	2.551370971832898071e+00
-8.167999999999999913e-03	1.509389953497314307e+00	2.572003572265459059e+00
-8.166999999999998913e-03	1.501643411790505533e+00	2.609209900914340352e+00
-8.165999999999999648e-03	1.498275350178849274e+00	2.607856943508926495e+00
-8.165000000000000382e-03	1.495580900889524445e+00	2.586209625022304781e+00
-8.163999999999999382e-03	1.500632993307008611e+00	2.544944424157181917e+00
-8.163000000000000117e-03	1.514105239753632981e+00	2.576400683833054206e+00
-8.161999999999999117e-03	1.507032310369155192e+00	2.607518704157572920e+00
-8.160999999999999852e-03	1.495244094728358952e+00	2.577415401887114488e+00
-8.159999999999998851e-03	1.496591319373021367e+00	2.549003296373423488e+00
-8.158999999999999586e-03	1.510400371980811229e+00	2.582827231508769916e+00
-8.158000000000000321e-03	1.496591319373021367e+00	2.607518704157572920e+00
-8.156999999999999321e-03	1.494907288567193238e+00	2.583503710211477067e+00
-8.156000000000000055e-03	1.504674667240995856e+00	2.539194355184173357e+00
-8.154999999999999055e-03	1.500969799468174326e+00	2.605151028698098781e+00
-8.153999999999999790e-03	1.494233676244862030e+00	2.598048002319675920e+00
-8.152999999999998790e-03	1.500296187145843119e+00	2.530738371400336639e+00
-8.151999999999999524e-03	1.506695504207989478e+00	2.582827231508769916e+00
-8.151000000000000259e-03	1.497264931695352574e+00	2.601768635184563916e+00
-8.149999999999999259e-03	1.490528808472040501e+00	2.553400407941018635e+00
-8.148999999999999994e-03	1.507369116530320685e+00	2.553062168589665060e+00
-8.147999999999998993e-03	1.488507971505046878e+00	2.583841949562830642e+00
-8.146999999999999728e-03	1.490528808472040501e+00	2.558812237562674063e+00
-8.146000000000000463e-03	1.505348279563327063e+00	2.574709487076286774e+00
-8.144999999999999463e-03	1.492549645439034123e+00	2.583841949562830642e+00
-8.144000000000000197e-03	1.494233676244862030e+00	2.523635345021913778e+00
-8.142999999999999197e-03	1.508042728852651893e+00	2.554753365346432492e+00
-8.141999999999999932e-03	1.490528808472040501e+00	2.576400683833054206e+00
-8.140999999999998932e-03	1.502990636435167948e+00	2.529047174643569207e+00
-8.139999999999999666e-03	1.508379535013817607e+00	2.551370971832898071e+00
-8.139000000000000401e-03	1.489855196149709293e+00	2.564562306535683067e+00
-8.137999999999999401e-03	1.492886451600199615e+00	2.526341259832741493e+00
-8.137000000000000136e-03	1.495580900889524445e+00	2.557459280157260206e+00
-8.135999999999999135e-03	1.490528808472040501e+00	2.547650338968009631e+00
