# Acquisizione Analog Discovery 2 - Lunga durata
# time	ch1	ch2
-8.191999999999999629e-03	-1.003184008798110094e+00	-2.651481068873953184e-01
-8.191000000000000364e-03	-1.001499977992282187e+00	-2.604127559684468185e-01
-8.189999999999999364e-03	-1.002847202636944601e+00	-2.631186707792745327e-01
-8.189000000000000098e-03	-1.002173590314613394e+00	-2.637951494819814613e-01
-8.187999999999999098e-03	-1.003857621120441301e+00	-2.651481068873953184e-01
-8.186999999999999833e-03	-1.003520814959275809e+00	-2.648098675360418541e-01
-8.185999999999998833e-03	-1.003520814959275809e+00	-2.651481068873953184e-01
-8.184999999999999568e-03	-1.003520814959275809e+00	-2.658245855901022470e-01
-8.184000000000000302e-03	-1.003184008798110094e+00	-2.651481068873953184e-01
-8.182999999999999302e-03	-1.003184008798110094e+00	-2.668393036441626398e-01
-8.182000000000000037e-03	-1.000489559508785264e+00	-2.627804314279210685e-01
-8.180999999999999037e-03	-1.002173590314613394e+00	-2.654863462387487827e-01
-8.179999999999999771e-03	-1.001836784153447679e+00	-2.621039527252141399e-01
-8.178999999999998771e-03	-1.002173590314613394e+00	-2.637951494819814613e-01
-8.177999999999999506e-03	-1.004194427281607016e+00	-2.648098675360418541e-01
-8.177000000000000240e-03	-1.002173590314613394e+00	-2.651481068873953184e-01
-8.175999999999999240e-03	-1.005878458087434923e+00	-2.648098675360418541e-01
-8.174999999999999975e-03	-1.002173590314613394e+00	-2.637951494819814613e-01
-8.173999999999998975e-03	-1.003520814959275809e+00	-2.634569101306279970e-01
-8.172999999999999710e-03	-1.001836784153447679e+00	-2.637951494819814613e-01
-8.172000000000000444e-03	-1.002847202636944601e+00	-2.648098675360418541e-01
-8.170999999999999444e-03	-1.002510396475778887e+00	-2.651481068873953184e-01
-8.170000000000000179e-03	-1.002510396475778887e+00	-2.641333888333349256e-01
-8.168999999999999179e-03	-1.001499977992282187e+00	-2.621039527252141399e-01
-8.167999999999999913e-03	-1.005204845765103716e+00	-2.621039527252141399e-01
-8.166999999999998913e-03	-1.003857621120441301e+00	-2.648098675360418541e-01
-8.165999999999999648e-03	-1.000826365669950979e+00	-2.641333888333349256e-01
-8.165000000000000382e-03	-1.002173590314613394e+00	-2.624421920765676042e-01
-8.163999999999999382e-03	-1.000489559508785264e+00	-2.627804314279210685e-01
-8.163000000000000117e-03	-1.003184008798110094e+00	-2.661628249414557112e-01
-8.161999999999999117e-03	-1.001836784153447679e+00	-2.651481068873953184e-01
-8.160999999999999852e-03	-1.002847202636944601e+00	-2.648098675360418541e-01
-8.159999999999998851e-03	-1.003520814959275809e+00	-2.644716281846883899e-01
-8.158999999999999586e-03	-1.001499977992282187e+00	-2.637951494819814613e-01
-8.158000000000000321e-03	-1.002847202636944601e+00	-2.627804314279210685e-01
-8.156999999999999321e-03	-1.002173590314613394e+00	-2.641333888333349256e-01
-8.156000000000000055e-03	-1.001836784153447679e+00	-2.637951494819814613e-01
-8.154999999999999055e-03	-1.002173590314613394e+00	-2.641333888333349256e-01
-8.153999999999999790e-03	-1.001836784153447679e+00	-2.631186707792745327e-01
-8.152999999999998790e-03	-1.000826365669950979e+00	-2.637951494819814613e-01
-8.151999999999999524e-03	-1.005204845765103716e+00	-2.644716281846883899e-01
-8.151000000000000259e-03	-1.004194427281607016e+00	-2.631186707792745327e-01
-8.149999999999999259e-03	-1.004194427281607016e+00	-2.641333888333349256e-01
-8.148999999999999994e-03	-1.001163171831116472e+00	-2.624421920765676042e-01
