# Acquisizione Analog Discovery 2 - Lunga durata
# time	ch1	ch2
-2.457600000000000322e-04	-2.004725792381824689e+00	-5.148437722028356145e-01
-2.457300000000000478e-04	-2.006080350251503219e+00	-5.036652511287647016e-01
-2.457000000000000091e-04	-2.009805384393120065e+00	-5.222961195855494454e-01
-2.456700000000000246e-04	-2.006080350251503219e+00	-5.185699458941925855e-01
-2.456400000000000402e-04	-2.005403071316663954e+00	-5.036652511287647016e-01
-2.456100000000000557e-04	-2.007096268653762561e+00	-5.073914248201216726e-01
-2.455800000000000170e-04	-2.003371234512145715e+00	-5.036652511287647016e-01
-2.455500000000000326e-04	-2.006757629186342928e+00	-5.148437722028356145e-01
-2.455200000000000481e-04	-2.005403071316663954e+00	-5.036652511287647016e-01
-2.454900000000000094e-04	-2.006080350251503219e+00	-5.148437722028356145e-01
-2.454600000000000250e-04	-2.007096268653762561e+00	-5.185699458941925855e-01
-2.454300000000000405e-04	-2.006757629186342928e+00	-4.850343826719799023e-01
-2.454000000000000560e-04	-2.006757629186342928e+00	-4.962129037460507597e-01
-2.453700000000000173e-04	-2.008112187056021458e+00	-5.036652511287647016e-01
-2.453400000000000329e-04	-2.003032595044726083e+00	-5.111175985114786435e-01
-2.453100000000000484e-04	-2.006080350251503219e+00	-4.999390774374077306e-01
-2.452800000000000097e-04	-2.004725792381824689e+00	-4.999390774374077306e-01
-2.452500000000000253e-04	-2.007096268653762561e+00	-5.148437722028356145e-01
-2.452200000000000408e-04	-2.008789465990860723e+00	-5.185699458941925855e-01
-2.451900000000000563e-04	-2.006080350251503219e+00	-5.073914248201216726e-01
-2.451600000000000177e-04	-2.004725792381824689e+00	-4.924867300546937887e-01
-2.451300000000000332e-04	-2.005741710784083587e+00	-4.999390774374077306e-01
-2.451000000000000487e-04	-2.007773547588601826e+00	-4.924867300546937887e-01
-2.450700000000000101e-04	-2.004048513446985424e+00	-5.036652511287647016e-01
-2.450400000000000256e-04	-2.003709873979565792e+00	-5.036652511287647016e-01
-2.450100000000000411e-04	-2.006757629186342928e+00	-5.185699458941925855e-01
-2.449800000000000567e-04	-2.006757629186342928e+00	-4.813082089806229313e-01
-2.449500000000000180e-04	-2.006757629186342928e+00	-4.962129037460507597e-01
-2.449200000000000335e-04	-2.007434908121182193e+00	-5.073914248201216726e-01
-2.448900000000000490e-04	-2.006418989718923296e+00	-4.924867300546937887e-01
-2.448600000000000104e-04	-2.005741710784083587e+00	-4.924867300546937887e-01
-2.448300000000000259e-04	-2.008789465990860723e+00	-5.148437722028356145e-01
-2.448000000000000414e-04	-2.006418989718923296e+00	-4.962129037460507597e-01
-2.447700000000000570e-04	-2.007773547588601826e+00	-5.185699458941925855e-01
-2.447400000000000183e-04	-2.005403071316663954e+00	-5.073914248201216726e-01
-2.447100000000000338e-04	-2.005403071316663954e+00	-5.036652511287647016e-01
-2.446800000000000494e-04	-2.005403071316663954e+00	-4.962129037460507597e-01
-2.446500000000000107e-04	-2.004725792381824689e+00	-5.111175985114786435e-01
-2.446200000000000262e-04	-2.003709873979565792e+00	-5.036652511287647016e-01
-2.445900000000000418e-04	-2.005064431849244322e+00	-5.185699458941925855e-01
-2.445600000000000573e-04	-2.006080350251503219e+00	-5.111175985114786435e-01
-2.445300000000000186e-04	-2.007773547588601826e+00	-5.185699458941925855e-01
-2.445000000000000341e-04	-2.005741710784083587e+00	-5.148437722028356145e-01
-2.444700000000000497e-04	-2.008450826523441091e+00	-5.073914248201216726e-01
-2.444400000000000110e-04	-2.005064431849244322e+00	-5.036652511287647016e-01
-2.444100000000000265e-04	-2.008112187056021458e+00	-5.297484669682633873e-01
-2.443800000000000421e-04	-2.006757629186342928e+00	-5.036652511287647016e-01
-2.443500000000000576e-04	-2.007434908121182193e+00	-5.073914248201216726e-01
-2.443200000000000189e-04	-2.005403071316663954e+00	-5.073914248201216726e-01
-2.442900000000000345e-04	-2.004725792381824689e+00	-5.073914248201216726e-01
-2.442600000000000500e-04	-2.004048513446985424e+00	-5.222961195855494454e-01
-2.442300000000000113e-04	-2.007434908121182193e+00	-5.073914248201216726e-01
-2.442000000000000269e-04	-2.006757629186342928e+00	-4.962129037460507597e-01
-2.441700000000000424e-04	-2.006757629186342928e+00	-4.999390774374077306e-01
-2.441400000000000308e-04	-2.006757629186342928e+00	-5.185699458941925855e-01
-2.441100000000000192e-04	-2.008789465990860723e+00	-5.148437722028356145e-01
-2.440800000000000348e-04	-2.007096268653762561e+00	-5.111175985114786435e-01
-2.440500000000000232e-04	-2.006757629186342928e+00	-5.111175985114786435e-01
-2.440200000000000387e-04	-2.004387152914405057e+00	-4.962129037460507597e-01
-2.439900000000000272e-04	-2.005403071316663954e+00	-4.962129037460507597e-01
-2.439600000000000427e-04	-2.006418989718923296e+00	-5.260222932769064164e-01
-2.439300000000000311e-04	-2.006418989718923296e+00	-5.073914248201216726e-01
-2.439000000000000196e-04	-2.006757629186342928e+00	-4.999390774374077306e-01
-2.438700000000000351e-04	-2.006080350251503219e+00	-5.036652511287647016e-01
-2.438400000000000235e-04	-2.005064431849244322e+00	-4.999390774374077306e-01
-2.438100000000000391e-04	-2.006418989718923296e+00	-5.148437722028356145e-01
-2.437800000000000275e-04	-2.007434908121182193e+00	-5.111175985114786435e-01
-2.437500000000000430e-04	-2.008450826523441091e+00	-4.999390774374077306e-01
-2.437200000000000314e-04	-2.008450826523441091e+00	-5.036652511287647016e-01
-2.436900000000000199e-04	-2.009805384393120065e+00	-5.148437722028356145e-01
-2.436600000000000354e-04	-2.006757629186342928e+00	-4.999390774374077306e-01
-2.436300000000000238e-04	-2.007096268653762561e+00	-5.036652511287647016e-01
-2.436000000000000394e-04	-2.006757629186342928e+00	-5.073914248201216726e-01
-2.435700000000000278e-04	-2.006757629186342928e+00	-5.036652511287647016e-01
-2.435400000000000433e-04	-2.007096268653762561e+00	-5.036652511287647016e-01
-2.435100000000000318e-04	-2.004387152914405057e+00	-5.111175985114786435e-01
-2.434800000000000202e-04	-2.002016676642467186e+00	-5.111175985114786435e-01
-2.434500000000000357e-04	-2.005064431849244322e+00	-5.148437722028356145e-01
-2.434200000000000242e-04	-2.003709873979565792e+00	-5.036652511287647016e-01
-2.433900000000000397e-04	-2.001678037175047553e+00	-5.148437722028356145e-01
-2.433600000000000281e-04	-2.003709873979565792e+00	-5.036652511287647016e-01
