*Frequency 	VF1-abs (dB)	VF1-phase (deg)
10	-12.6531746140976	2.75557265144682
11.2201845430196	-12.648994668405	3.09045165594121
12.5892541179417	-12.643738797418	3.4656371099674
14.1253754462275	-12.6371321155172	3.88582025771996
15.8489319246111	-12.6288306996349	4.35617274887561
17.7827941003892	-12.6184049383738	4.88236851290136
19.9526231496888	-12.6053192612326	5.47059406540414
22.3872113856834	-12.5889076911027	6.1275406495784
25.1188643150958	-12.5683447188026	6.86036917231735
28.1838293126445	-12.5426111642487	7.67663582600642
31.6227766016838	-12.5104550308809	8.58416260778625
35.4813389233575	-12.4703479676673	9.59083283691187
39.8107170553497	-12.4204389380515	10.7042877043929
44.6683592150963	-12.3585081790399	11.9314968285095
50.1187233627272	-12.2819266144021	13.2781754016162
56.2341325190349	-12.1876285720411	14.7480253527357
63.0957344480193	-12.0721087555338	16.3417914382273
70.7945784384138	-11.9314573940561	18.0561490796703
79.4328234724282	-11.761449313083	19.8824818226464
89.1250938133746	-11.5577017827441	21.8056616616832
100	-11.3159106142261	23.8030074702274
112.201845430196	-11.0321627753451	25.8436482910424
125.892541179417	-10.7033071310058	27.8885339621206
141.253754462275	-10.3273459135033	29.891289928633
158.489319246111	-9.90379420361544	31.7999950793808
177.827941003892	-9.43395008474822	33.5597893014644
199.526231496888	-8.92102862835864	35.1160414033457
223.872113856834	-8.37013684814711	36.4176921306178
251.188643150958	-7.78809612882212	37.4203758358109
281.838293126446	-7.18314254448829	38.0890162608639
316.227766016838	-6.56454609382278	38.3997384473677
354.813389233575	-5.94218632494715	38.3410724117696
398.107170553497	-5.32610994595892	37.9144943869542
446.683592150963	-4.72608462851272	37.1343474672209
501.187233627272	-4.15115946173438	36.0271347313168
562.341325190349	-3.60924862291768	34.6301360214269
630.957344480193	-3.10676715339765	32.9893128408496
707.945784384138	-2.64835830793692	31.1565546983794
794.328234724282	-2.23675227036052	29.1864630802583
891.250938133746	-1.87278168695869	27.1330082925329
1000	-1.55555323694446	25.0464634169162
1122.01845430196	-1.28274543797733	22.9709801957918
1258.92541179417	-1.05098175532342	20.9430350500238
1412.53754462275	-0.856221512134599	18.9907923698368
1584.89319246111	-0.694118999011232	17.1342700656982
1778.27941003892	-0.560318106134774	15.3860921665092
1995.26231496888	-0.450668685037348	13.7525849447885
2238.72113856834	-0.361366313143517	12.2350003678594
2511.88643150958	-0.289026821270212	10.8307069529785
2818.38293126446	-0.23071104441977	9.5342496438359
3162.27766016838	-0.183915300824091	8.33823248759989
3548.13389233576	-0.146540876974145	7.23401501814974
3981.07170553497	-0.11685272542395	6.21223570376516
4466.83592150963	-0.0934345651975235	5.26318678124682
5011.87233627273	-0.0751450493340768	4.37706804965211
5623.41325190349	-0.0610777595297235	3.54414596740591
6309.57344480194	-0.0505264652163564	2.75484101543084
7079.45784384138	-0.0429562358109465	1.9997622350283
7943.28234724282	-0.0379804999396374	1.2697039561392
8912.50938133746	-0.0353438981338317	0.555616405401168
10000	-0.0349106926001122	-0.151440721941788
11220.1845430196	-0.0366585181956669	-0.860354502328247
12589.2541179417	-0.040677339419673	-1.58001875470819
14125.3754462276	-0.0471735878542985	-2.31939211879044
15848.9319246111	-0.0564795682964726	-3.08754840972357
17782.7941003892	-0.0690683160337341	-3.89371253619105
19952.6231496888	-0.0855741341864145	-4.74727368361546
22387.2113856834	-0.106819000654195	-5.65776514243267
25118.8643150958	-0.13384485521352	-6.63479710195643
28183.8293126446	-0.167951384166501	-7.68792502808402
31622.7766016838	-0.210738214773874	-8.82643219349105
35481.3389233575	-0.264149297632097	-10.0590011837345
39810.7170553497	-0.330515574937666	-11.3932469750784
44668.3592150963	-0.412589732652783	-12.8350854653132
50118.7233627272	-0.51356396710008	-14.3879190481692
56234.1325190349	-0.63705856589541	-16.0516386155007
63095.7344480194	-0.787066420597538	-17.8214728597136
70794.5784384139	-0.967837588459045	-19.6867626908067
79432.8234724282	-1.18369040111691	-21.6297979797116
89125.0938133746	-1.43874311301699	-23.6249146523372
100000	-1.73657354057171	-25.6380917498404
112201.845430196	-2.07983228548043	-27.6272836467348
125892.541179417	-2.46985368224186	-29.5436500391334
141253.754462276	-2.90632083959286	-31.3337040102257
158489.319246112	-3.38704053566737	-32.9422172044546
177827.941003892	-3.90786781790887	-34.3155592784028
199526.231496888	-4.46279313750076	-35.4050669104049
223872.113856834	-5.04417637496982	-36.1700648352945
251188.643150958	-5.64309243371779	-36.5802767934656
281838.293126445	-6.24974750180342	-36.6175087780754
316227.766016838	-6.85393154621236	-36.2765970779735
354813.389233575	-7.44548359994645	-35.5656550900892
398107.170553498	-8.01475355786505	-34.5056345472109
446683.592150963	-8.5530427093913	-33.1291812693927
501187.233627273	-9.0529962008002	-31.4787646740409
562341.325190349	-9.50891052610458	-29.6041269944484
630957.344480195	-9.91691667305273	-27.5592259264029
707945.784384138	-10.2750107843069	-25.3989854373953
794328.234724283	-10.582928628722	-23.1762565511402
891250.938133745	-10.8418902054781	-20.9393729664196
1000000	-11.0542654833034	-18.7305610152903
 
