*Frequency 	VF1-abs (dB)	VF1-phase (deg)
10	-12.6518643856177	2.75481070218151
11.2201845430196	-12.6476863794964	3.08959681145735
12.5892541179417	-12.6424329510048	3.46467806747841
14.1253754462275	-12.6358293451578	3.88474434895389
15.8489319246111	-12.6275318035825	4.35496577940578
17.7827941003892	-12.6171109225877	4.88101458455902
19.9526231496888	-12.6040313937286	5.46907538099255
22.3872113856834	-12.5876275706855	6.12583729966966
25.1188643150958	-12.5670743620613	6.85845890490495
28.1838293126445	-12.5413531157724	7.67449380146674
31.6227766016838	-12.509212503027	8.58176114438054
35.4813389233575	-12.4691250179668	9.58814115657482
39.8107170553497	-12.4192406945385	10.7012716957826
44.6683592150963	-12.3573411265241	11.9281188556984
50.1187233627272	-12.2807989579853	13.2743942044917
56.2341325190349	-12.18655069796	14.7437961120479
63.0957344480193	-12.0710938134592	16.3370661179663
70.7945784384138	-11.9305220287848	18.0508772163374
79.4328234724282	-11.7606145762346	19.8766120091127
89.1250938133746	-11.5569942552532	21.7991440754189
100	-11.3153637663423	23.7957979213977
112.201845430196	-11.031818580489	25.8357144104905
125.892541179417	-10.703217931227	27.879864303026
141.253754462275	-10.3275765056618	29.881906905461
158.489319246111	-9.90442407486562	31.789972797833
177.827941003892	-9.43507567076793	33.5492774217248
199.526231496888	-8.92276539424865	35.1052961864942
223.872113856834	-8.37262089675577	36.4071156686056
251.188643150958	-7.79148492654849	37.410564032132
281.838293126446	-7.18761423587721	38.0808152454391
316.227766016838	-6.57029679066427	38.3943076250715
354.813389233575	-5.94942476523706	38.3399502366639
398.107170553497	-5.33504910067762	37.9196604769401
446.683592150963	-4.73693025401731	37.1482724815947
501.187233627272	-4.16409625447313	36.0528085689961
562.341325190349	-3.62442541861559	34.6710664982528
630.957344480193	-3.12428328225469	33.049491702348
707.945784384138	-2.6682534625395	31.2403950668327
794.328234724282	-2.2590018385635	29.2987202316087
891.250938133746	-1.89729846501554	27.2787012016725
1000	-1.58219507758044	25.2308155426883
1122.01845430196	-1.31132717578356	23.1993940776704
1258.92541179417	-1.08128908341013	21.221108122312
1412.53754462275	-0.888024492003562	19.3243737436417
1584.89319246111	-0.727183422294599	17.5295523132001
1778.27941003892	-0.594413695439832	15.8497294844899
1995.26231496888	-0.485573841097921	14.2918292341736
2238.72113856834	-0.396869621884084	12.857848725368
2511.88643150958	-0.324925788310772	11.5460567076076
2818.38293126446	-0.266808569441614	10.3520595696396
3162.27766016838	-0.220014313306684	9.26969077780791
3548.13389233576	-0.182437395155833	8.29171592590818
3981.07170553497	-0.152327417755931	7.41036752998578
4466.83592150963	-0.128242711850015	6.61773426786894
5011.87233627273	-0.109004627714984	5.90603235476805
5623.41325190349	-0.0936552093227477	5.26778535542713
6309.57344480194	-0.081419516911894	4.6959352434944
7079.45784384138	-0.0716730016938653	4.18390336710371
7943.28234724282	-0.0639138170941735	3.72561596326186
8912.50938133746	-0.0577396685798314	3.31550535493749
10000	-0.052828676309926	2.9484950829178
11220.1845430196	-0.0489236919854477	2.61997495386169
12589.2541179417	-0.04581953266655	2.32577024983318
14125.3754462276	-0.0433526434865194	2.06210804726068
15848.9319246111	-0.0413927616910877	1.82558264161145
17782.7941003892	-0.0398362166211311	1.61312138694492
19952.6231496888	-0.0386005588872767	1.42195177049582
22387.2113856834	-0.0376202645489759	1.24957019931917
25118.8643150958	-0.0368433057386372	1.09371273887905
28183.8293126446	-0.0362284179177285	0.952327882350335
31622.7766016838	-0.0357429263537368	0.823551322238774
35481.3389233575	-0.0353610212071083	0.705682626592816
39810.7170553497	-0.0350623926195344	0.597163678935708
44668.3592150963	-0.0348311551713705	0.496558715735961
50118.7233627272	-0.034655005728422	0.402535781829161
56234.1325190349	-0.0345245706495439	0.313849418495648
63095.7344480194	-0.0344329081071117	0.229324397946821
70794.5784384139	-0.0343751393403933	0.147840319728203
79432.8234724282	-0.0343481894054898	0.0683168875914576
89125.0938133746	-0.0343506237371098	-0.0103003112262295
100000	-0.0343825718856922	-0.0890536992812448
112201.845430196	-0.0344457343978285	-0.168987447308444
125892.541179417	-0.0345434732021487	-0.251161228705593
141253.754462276	-0.0346809902761808	-0.336664160473932
158489.319246112	-0.0348656040298719	-0.426629101134906
177827.941003892	-0.0351071379858911	-0.522247476829306
199526.231496888	-0.0354184422286005	-0.624784807549496
223872.113856834	-0.0358160750268808	-0.735597105518232
251188.643150958	-0.0363211803500723	-0.856148316010136
281838.293126445	-0.0369606070885436	-0.988028965831187
316227.766016838	-0.0377683281247358	-1.13297617393049
354813.389233575	-0.0387872325197556	-1.29289515894372
398107.170553498	-0.0400713826089033	-1.46988234522781
446683.592150963	-0.0416888504394904	-1.66625011560957
501187.233627273	-0.043725275493761	-1.88455317647269
562341.325190349	-0.0462883187843034	-2.12761637624859
630957.344480195	-0.0495132278549922	-2.39856363426636
707945.784384138	-0.0535697733616282	-2.70084736931394
794328.234724283	-0.058670870545214	-3.03827743376501
891250.938133745	-0.0650832567605417	-3.41504801678678
1000000	-0.0731406560955571	-3.83576022308025
 
