*Frequency 	VF1-abs (dB)	VF1-phase (deg)
10	-64.0172201604697	93.5551132856651
11.2201845430196	-63.0127118639846	93.9875330995041
12.5892541179417	-62.0070426424749	94.4721537583813
14.1253754462275	-60.9999156126189	95.0151147982098
15.8489319246111	-59.99095916424	95.6232116243533
17.7827941003892	-58.979708840001	96.3039382794166
19.9526231496888	-57.9655852168925	97.0655209803043
22.3872113856834	-56.9478671359763	97.9169360259169
25.1188643150958	-55.9256596581325	98.8679032222206
28.1838293126445	-54.8978562591906	99.9288428761759
31.6227766016838	-53.8630950824758	101.110780681021
35.4813389233575	-52.819709628471	102.425180620951
39.8107170553497	-51.7656751899486	103.883681825316
44.6683592150963	-50.6985537562174	105.497712042093
50.1187233627272	-49.6154421083904	107.277949716504
56.2341325190349	-48.5129304155878	109.233611070936
63.0957344480193	-47.3870816274132	111.371551458651
70.7945784384138	-46.2334448017198	113.695195311823
79.4328234724282	-45.0471171813055	116.203348871074
89.1250938133746	-43.8228687982544	118.889003639032
100	-42.5553378566751	121.738298338208
112.201845430196	-41.239293835186	124.729855866142
125.892541179417	-39.8699485424746	127.834723935158
141.253754462275	-38.4432764342336	131.017098233194
158.489319246111	-36.9562904332308	134.23588421174
177.827941003892	-35.4072153797069	137.446976786708
199.526231496888	-33.7955125241385	140.605957599034
223.872113856834	-32.1217334796252	143.670792759845
251.188643150958	-30.3872124411158	146.604107327648
281.838293126446	-28.5936297949441	149.374717432441
316.227766016838	-26.7424894179295	151.9582711488
354.813389233575	-24.8345429825985	154.337017351
398.107170553497	-22.8691699131968	156.498831121094
446.683592150963	-20.8436851781755	158.435646638205
501.187233627272	-18.7524989459431	160.141378614417
562.341325190349	-16.5859831142951	161.609244618808
630.957344480193	-14.3287833308918	162.828084248046
707.945784384138	-11.9570878849741	163.776635181656
794.328234724282	-9.43387011033302	164.413248592192
891.250938133746	-6.69993306918586	164.654542105031
1000	-3.65539589025009	164.323915647168
1122.01845430196	-0.116393682638544	163.002557657195
1258.92541179417	4.3047550205994	159.469600177136
1412.53754462275	10.5995558831224	148.439972565171
1584.89319246111	19.0055855576484	88.2578254421387
1778.27941003892	13.0586760997097	21.5521617675618
1995.26231496888	8.54689233273447	9.21569501369274
2238.72113856834	6.01818485517385	5.06693727872518
2511.88643150958	4.40885612916515	3.12846649242575
2818.38293126446	3.30709854968702	2.06774686410247
3162.27766016838	2.51893692545181	1.43185746846818
3548.13389233576	1.93881966401058	1.02725381365703
3981.07170553497	1.50343626756393	0.758626488518972
4466.83592150963	1.17213075727301	0.574346283080342
5011.87233627273	0.917470588898418	0.444491619695305
5623.41325190349	0.720251866276389	0.350838813117459
6309.57344480194	0.566651363786864	0.281863550502181
7079.45784384138	0.446504199501216	0.230061912339264
7943.28234724282	0.352211166159437	0.190432415215334
8912.50938133746	0.278017606088779	0.159576868661841
10000	0.219521614533588	0.135148398271276
11220.1845430196	0.173329338113684	0.115502636824071
12589.2541179417	0.136807800494496	0.0994720463167047
14125.3754462276	0.107904271059651	0.0862170631623623
15848.9319246111	0.0850121757564517	0.0751263442692022
17782.7941003892	0.0668702638170643	0.0657490295811009
19952.6231496888	0.0524859754988238	0.0577482302403233
22387.2113856834	0.0410766972661586	0.0508687835156942
25118.8643150958	0.0320244122030924	0.0449147076866338
28183.8293126446	0.0248404920029665	0.0397333156744147
31622.7766016838	0.0191382371940708	0.0352039372609624
35481.3389233575	0.0146113814869437	0.0312298536678639
39810.7170553497	0.0110172151120518	0.0277324854808607
44668.3592150963	0.00816330325400262	0.0246471704710751
50118.7233627272	0.0058970139723846	0.0219200695246459
56234.1325190349	0.00409724883894688	0.0195058775481333
63095.7344480194	0.00266790510171265	0.0173661121652404
70794.5784384139	0.00153270184909172	0.0154678197765899
79432.8234724282	0.000631082470846289	0.0137825852144419
89125.0938133746	-8.5032456422459E-5	0.012285763968266
100000	-0.000653819605282117	0.0109558790179523
112201.845430196	-0.001105594792689	0.00977414060696207
125892.541179417	-0.00146443298810485	0.00872405883926434
141253.754462276	-0.00174945391307441	0.00779112720001413
158489.319246112	-0.00197584245625523	0.00696256096330915
177827.941003892	-0.00215565872462082	0.00622707865152254
199526.231496888	-0.00229848117162012	0.00557471773314511
223872.113856834	-0.00241191724214765	0.0049966779321375
251188.643150958	-0.00250200884837716	0.00448518711146886
281838.293126445	-0.0025735543455055	0.00403338585786064
316227.766016838	-0.00263036420170257	0.00363522775412669
354813.389233575	-0.00267546400785384	0.00328539296536856
398107.170553498	-0.00271125565717581	0.00297921324697153
446683.592150963	-0.00273964529022815	0.00271260684862812
501187.233627273	-0.00276214482644194	0.00248202207075039
562341.325190349	-0.00277995249401104	0.00228438844931278
630957.344480195	-0.0027940166498166	0.00211707471819876
707945.784384138	-0.0028050862901401	0.00197785283525217
794328.234724283	-0.00281375094365328	0.00186486746720456
891250.938133745	-0.00282047207242178	0.00177661041419847
1000000	-0.00282560765459442	0.00171189951955186
 
